typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","41341628.106","41341628.106","0","false","true",
"C","A","20200101","2020","52","2020","20","AND","Andorra","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"10233070.394","10233070.394","4","false","true",
"C","A","20200101","2020","52","2020","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"82950854.698","82950854.698","4","false","true",
"C","A","20200101","2020","52","2020","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"468754.808","468754.808","4","false","true",
"C","A","20200101","2020","52","2020","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","49752490.96","49752490.96","4","false","true",
"C","A","20200101","2020","52","2020","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","922036711.95","922036711.95","0","false","true",
"C","A","20200101","2020","52","2020","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"4290478744.88","4290478744.88","0","false","true",
"C","A","20200101","2020","52","2020","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","27959761903.161","27959761903.161","4","false","true",
"C","A","20200101","2020","52","2020","44","BHS","Bahamas","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"18597446","18597446","4","false","true",
"C","A","20200101","2020","52","2020","48","BHR","Bahrain","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"507086628.34","507086628.34","4","false","true",
"C","A","20200101","2020","52","2020","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","22759513.76","22759513.76","4","false","true",
"C","A","20200101","2020","52","2020","52","BRB","Barbados","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","8098215","8098215","4","false","true",
"C","A","20200101","2020","52","2020","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"20680825770.074","20680825770.074","4","false","true",
"C","A","20200101","2020","52","2020","60","BMU","Bermuda","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","813564.29","813564.29","4","false","true",
"C","A","20200101","2020","52","2020","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","58973352.76","58973352.76","4","false","true",
"C","A","20200101","2020","52","2020","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true","0","false",,"449881159.236","449881159.236","4","false","true",
"C","A","20200101","2020","52","2020","72","BWA","Botswana","X","Export","0","W00","World","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"44783523.522","44783523.522","4","false","true",
